code,localidad
0,17 DE AGOSTO
1,25 DE MAYO
2,28 DE NOVIEMBRE
3,4 DE FEBRERO
4,9 DE JULIO
5,ABIPONES
6,ABRA PAMPA
7,ACASSUSO
8,ACEBAL
9,ACEILAN
10,ACEVEDO
11,ADAN QUIROGA (ESTACION FCGB)
12,ADOLFO GONZALES CHAVES
13,ADOLFO SOURDEAUX
14,ADROGUE
15,AGOTE
16,AGUA DE ORO
17,AGUADA DE GUERRA
18,AGUADA DEL LORO
19,AGUARAY
20,AGUAS BLANCAS
21,AGUILARES
22,AIMOGASTA
23,ALBA POSSE
24,ALBARDON
25,ALBARELLOS
26,ALBARIÑO
27,ALBERTI
28,ALCORTA
29,ALDAO
30,ALDEA ESCOLAR
31,ALDO BONZI
32,ALEJANDRA
33,ALEJANDRO KORN
34,ALEJO LEDESMA
35,ALFREDO DEMARCHI
36,ALGARROBO
37,ALGARROBO DEL AGUILA
38,ALLEN
39,ALMAFUERTE
40,ALMIRANTE BROWN
41,ALPACHIRI
42,ALSINA
43,ALTA GRACIA
44,ALTA ITALIA
45,ALTAMIRANO
46,ALTO ALEGRE
47,ALTO RIO PICO
48,ALUMINE
49,ALVEAR
50,AMAICHA DEL LLANO
51,AMAMBAY
52,AMBROSETTI
53,AMENABAR
54,ANDACOLLO
55,ANDALGALA
56,ANEQUE GRANDE
57,ANGEL ETCHEVERRY
58,ANGELICA
59,ANGELICA VIEJA
60,ANGUALASTO
61,ANGUIL
62,ANTONIO CARBONI
63,APAYEREY
64,APOLINARIO SARAVIA
65,APOSTOLES
66,ARATA
67,ARBOLEDAS
68,ARENAZA
69,AREQUITO
70,ARGENTINA
71,ARIAS
72,ARMSTRONG
73,AROMITO
74,AROMOS
75,ARRECIFES
76,ARRIBEÑOS
77,ARROYITO
78,ARROYO CEIBAL
79,ARROYO CORTO
80,ARROYO DULCE
81,ARROYO SALADO
82,ARROYO SAN JUAN
83,ARROYO SECO
84,ARROYO ZAIMAN
85,ARRUFO
86,ARTEAGA
87,ARTURO SEGUI
88,ASCENSION
89,ASCOCHINGAS
90,ASTRA
91,ASTURIAS
92,ATALAYA
93,ATALIVA
94,ATILES
95,AURELIA
96,AVELLANEDA
97,AVENA
98,AVIA TERAI
99,AYACUCHO
100,AZUL
101,AÑATUYA
102,BADANO
103,BAHIA BLANCA
104,BAHIA LUNA
105,BAIGORRITA
106,BAJADA DEL AGRIO
107,BALCARCE
108,BALDE SALADO
109,BALLESTEROS
110,BALNEARIA
111,BALNEARIO LAS GRUTAS
112,BANDA DEL RIO SALI
113,BANDERA
114,BANDERALO
115,BANFIELD
116,BARADERO
117,BARCALA
118,BARLETT
119,BARRANCA COLORADA
120,BARRANCAS
121,BARRANQUERAS
122,BARREAL
123,BARRIO ALTO PALERMO
124,BARRIO CAIMA
125,BARTOLOME BAVIO
126,BASAIL
127,BAVIANO
128,BAÑADO DE OVANTA
129,BEBIDA
130,BECCAR
131,BELEN
132,BELL VILLE
133,BELLA VISTA
134,BELTRAN
135,BENITO JUAREZ
136,BERAZATEGUI
137,BERISSO
138,BERNAL
139,BERNARDO DE IRIGOYEN
140,BERNARDO LARROUDE
141,BERNASCONI
142,BERRETA
143,BERROTARAN
144,BERUTTI
145,BIGAND
146,BLANCA POZO
147,BLANDENGUES
148,BOEUF
149,BOLIVAR
150,BOMBAL
151,BONIFACIO
152,BORDENAVE
153,BOULOGNE
154,BOUQUET
155,BOWEN
156,BRAGADO
157,BUENA VISTA
158,BURZACO
159,CAAPORA
160,CABANA
161,CABEZA DE CHANCHO
162,CABO PRIMERO CHAVEZ
163,CACHARI
164,CACHI
165,CAFAYATE
166,CAFFERATA
167,CAHPADMALAL
168,CAINGUAS
169,CAJON DE ALMAZA
170,CAJON DEL TORO
171,CALAFATE
172,CALCHAQUI
173,CALCHIN OESTE
174,CALETA OLIVIA
175,CALEUFU
176,CALINGASTA
177,CALMAYO
178,CAMET
179,CAMILO ALDAO
